Grupo ID;Insumo Original
Grupo 65;"BOQUILLA DE DESCARGA SISTEMA FM-200 DE 1 1/2""
Grupo 65;"BOQUILLA DE DESCARGA SISTEMA FM-200 DE 1""
Grupo 66;"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 3" x 90º CLASE 150 ASTM A197 - ROSCADO"
Grupo 66;"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" x 90º CLASE 150 ASTM A197  - ROSCADO"
Grupo 67;"ANALIZADOR AUTOMATIZADO PARA INMUNOBIOQUIMICA DE ELECTROQUIMIOLUMINISCENCIA"
Grupo 67;"P.A. ANALIZADOR AUTOMATIZADO PARA INMUNOBIOQUIMICA DE ELECTROQUIMIOLUMINISCENCIA"
Grupo 68;"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA TERMODINAMICA DE 1 1/2"(SEGUN DISEÑO)"
Grupo 68;"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA TERMODINAMICA DE 1"(SEGUN DISEÑO)"
Grupo 68;"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA TERMODINAMICA DE 3/4"(SEGUN DISEÑO)"
Grupo 69;"MONITOR DE FUNCIONES VITALES DE 6 PARAMETROS (ATENCIÓN AL RECIÉN NACIDO)"
Grupo 69;"P.A. MONITOR DE FUNCIONES VITALES DE 6 PARAMETROS (ATENCIÓN AL RECIÉN NACIDO)"
Grupo 70;"SUMINISTRO E INSTALACION DE PAQUETE FINALES DE LINEA DE 1 1/2"  (SEGUN DISEÑO)"
Grupo 70;"SUMINISTRO E INSTALACION DE PAQUETE FINALES DE LINEA DE 1"  (SEGUN DISEÑO)"
Grupo 70;"SUMINISTRO E INSTALACION DE PAQUETE FINALES DE LINEA  DE 3/4 "(SEGUN DISEÑO)"
Grupo 71;"Bandeja tipo malla de 60x200x3000mm electrozincado con aterramiento incluye accesorios de instalación"
Grupo 71;"Bandeja tipo malla de 60x300x3000mm electrozincado con aterramiento incluye accesorios de instalación"
Grupo 71;"Bandeja tipo malla de 60x500x3000mm electrozincado con aterramiento incluye accesorios de instalación"
Grupo 71;"Bandeja tipo malla de 105x600x3000mm electrozincado con aterramiento incluye accesorios de instalación"
Grupo 72;"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA DE LINEA DE 1 1/2" (SEGUN DISEÑO)"
Grupo 72;"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA DE LINEA DE 1" (SEGUN DISEÑO)"
Grupo 73;"TOMACORRIENTE DOBLE. UNIV, CON PUESTA A TIERRA, 16 A. 250 V. USO GENERAL (ESTAB).  (EQUIP. MEDICO).  EMP. EN MURO. H=1.1"
Grupo 73;"TOMACORRIENTE DOBLE. UNIV, CON PUESTA A TIERRA, 16 A. 250 V. USO GENERAL (ESTAB.).  (EQUIP. MEDICO). EMP. EN MURO."
Grupo 73;"TOMACORRIENTE DOBLE. UNIV, CON PUESTA A TIERRA, 16 A. 250 V. USO GENERAL (ESTAB).  (EQUIP. MEDICO).  EMP. EN MURO. H=0.4"
Grupo 74;"SUMINISTRO E INSTALACION DE ESTACION REDUCTORA DE PRESION = 150 PSIG. DE Ø 1""
Grupo 74;"SUMINISTRO E INSTALACION DE ESTACION REDUCTORA DE PRESION = 150 PSIG.DE  Ø 1 1/2""
Grupo 74;"SUMINISTRO E INSTALACION DE ESTACION REDUCTORA DE PRESION = 150 PSIG. DE Ø 3/4""
Grupo 75;"CODO DE COBRE SOLDABLE 3" x 45°"
Grupo 75;"CODO DE COBRE SOLDABLE 3/4" x 45°"
Grupo 75;"CODO DE COBRE SOLDABLE 4" x 45°"
Grupo 76;"CODO SCH - 40 1 1/4" x 90º ROSCADO"
Grupo 76;"CODO SCH - 40 1" x 90º  ROSCADO"
