Grupo ID;Insumo Original
Grupo 76;"CODO SCH - 40 1 1/2" x 90º ROSCADO"
Grupo 76;"CODO SCH - 40 2" x 90º ROSCADO"
Grupo 77;"MB-02 MUEBLE TABLERO AGLOMERADO ENCHAPADO EN PLANCHA LAMINADA POST FORMADA INC. INSTALACION"
Grupo 77;"MB-02a MUEBLE TABLERO AGLOMERADO ENCHAPADO EN PLANCHA LAMINADA POST FORMADA INC. INSTALACION"
Grupo 77;"MB-08a MUEBLE TABLERO AGLOMERADO  ENCHAPADO EN PLANCHA LAMINADA POST FORMADA INC. INSTALACION"
Grupo 78;"Transformador de Aislamiento Trifasico 380/220 V, 2 KVA"
Grupo 78;"Transformador de Aislamiento Trifasico 380/220 V, 20 KVA"
Grupo 78;"Transformador de Aislamiento Trifasico 380/220 V, 5 KVA"
Grupo 78;"Transformador de Aislamiento Trifasico 380/220 V, 75 KVA"
Grupo 79;"TEE MECANICA SCH - 40 3 - 1 1/4""
Grupo 79;"TEE MECANICA SCH - 40 3" - 1""
Grupo 79;"TEE MECANICA SCH - 40 3" - 1 1/2""
Grupo 80;"P.A. ESTERILIZADOR  CON GENERADOR ELECTRICO DE VAPOR (DUAL) DE 200/250 LITROS CON DOBLE PUERTA"
Grupo 80;"ESTERILIZADOR CON GENERADOR ELECTRICO DE VAPOR (DUAL) DE 200/250 LITROS CON DOBLE PUERTA"
Grupo 81;"TUBERIA CEDULA - 40 DE 1 1/4""
Grupo 81;"TUBERIA CEDULA - 40 DE 1""
Grupo 81;"TUBERIA CEDULA - 40 DE 4""
Grupo 81;"TUBERIA CEDULA - 40 DE 3""
Grupo 81;"TUBERIA CEDULA - 40 DE 6""
Grupo 82;"P.A. ELECTROBISTURI MONOPOLAR I BIPOLAR DIGITAL CON PINZA HEMOSTATICA DE VASOS"
Grupo 82;"ELECTROBISTURI MONOPOLAR I BIPOLAR DIGITAL CON PINZA HEMOSTATICA DE VASOS"
Grupo 83;"P.A. VENTILADOR MECANICO ADULTO - PEDIATRICO - NEONATAL"
Grupo 83;"VENTILADOR MECANICO ADULTO - PEDIATRICO - NEONATAL"
Grupo 84;"TABLERO AUTOSOPORTADO CON TERMOMAGNETICOS REGULABLES DE 01 IGTF + 10 ITF DE 380/220 VOLTIOS, 600 KVA"
Grupo 84;"TABLERO AUTOSOPORTADO CON TERMOMAGNETICOS REGULABLES DE 01 IGTF + 12 ITF DE 380/220 VOLTIOS, 600 KVA"
Grupo 85;"TABLERO AUTOSOPORTADO CON TERMOMAGNETICOS REGULABLES DE 01 IGTF + 06 ITF DE 380/220 VOLTIOS, 600 KVA"
Grupo 85;"TABLERO AUTOSOPORTADO CON TERMOMAGNETICOS REGULABLES DE 01 IGTF + 08 ITF DE 380/220 VOLTIOS, 600 KVA"
Grupo 85;"TABLERO AUTOSOPORTADO CON TERMOMAGNETICOS REGULABLES DE 01 IGTF + 04 ITF DE 380/220 VOLTIOS, 600 KVA"
Grupo 85;"TABLERO AUTOSOPORTADO CON TERMOMAGNETICOS REGULABLES DE 01 IGTF DE 380/220 VOLTIOS, 600 KVA"
Grupo 86;"REDUCCION SCH - 40 2 1/2" - 2""
Grupo 86;"REDUCCION SCH - 40 4" - 2 1/2""
Grupo 86;"REDUCCION SCH - 40 3" - 2 1/2""
Grupo 86;"REDUCCION SCH - 40 6" - 2 1/2""
Grupo 86;"REDUCCION SCH - 40 3" - 2""
Grupo 86;"REDUCCION SCH - 40 4" - 2""
Grupo 86;"REDUCCION SCH - 40 4" - 3""
Grupo 87;"TEE SCH - 40 1 1/4" ROSCADO"
Grupo 87;"TEE SCH - 40 1" ROSCADO"
